Species;Otdel;N;B;Date;Horizon;Station
Prorocentrum triestinum;Dino;702.00;0.97;2015-07-14;5;Балка_фоновая
Scrippsiella trochoidea;Dino;421.00;2.52;2015-07-14;5;Балка_фоновая
Noctiluca scintillans;Dino;140.00;2167.05;2015-07-14;5;Балка_фоновая
Ebria tripartita;Chry;246.00;3.47;2015-08-04;0;Балка_фоновая
Coscinodiscus sp.;Bacil;1596.00;199.56;2015-08-04;0;Балка_фоновая
Rhizosolenia setigera;Bacil;368.00;18.03;2015-08-04;0;Балка_фоновая
Thalassionema frauenfeldii;Bacil;246.00;2.50;2015-08-04;0;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;1842.00;14.81;2015-08-04;0;Балка_фоновая
Ceratium fusus;Dino;123.00;4.24;2015-08-04;0;Балка_фоновая
Dinophysis acuminata;Dino;737.00;27.21;2015-08-04;0;Балка_фоновая
Diplopsalis lenticula f. lenticula;Dino;246.00;34.81;2015-08-04;0;Балка_фоновая
Gonyaulax verior;Dino;123.00;0.74;2015-08-04;0;Балка_фоновая
Gymnodinium blax;Dino;2211.00;1.26;2015-08-04;0;Балка_фоновая
Karenia mikimotoi;Dino;246.00;1.01;2015-08-04;0;Балка_фоновая
Gyrodinium fusiforme;Dino;2333.00;62.50;2015-08-04;0;Балка_фоновая
Gyrodinium spirale;Dino;246.00;27.23;2015-08-04;0;Балка_фоновая
Heterocapsa triquetra;Dino;737.00;2.75;2015-08-04;0;Балка_фоновая
Oblea rotundata;Dino;491.00;2.32;2015-08-04;0;Балка_фоновая
Protoperidinium bipes;Dino;123.00;0.32;2015-08-04;0;Балка_фоновая
Protoperidinium pellucidum;Dino;1965.00;17.67;2015-08-04;0;Балка_фоновая
Prorocentrum micans;Dino;491.00;5.80;2015-08-04;0;Балка_фоновая
Prorocentrum minimum;Dino;11544.00;15.12;2015-08-04;0;Балка_фоновая
Prorocentrum triestinum;Dino;186667.00;257.04;2015-08-04;0;Балка_фоновая
Protoceratium reticulatum;Dino;491.00;7.86;2015-08-04;0;Балка_фоновая
Scrippsiella trochoidea;Dino;4912.00;29.42;2015-08-04;0;Балка_фоновая
Pyrophacus horologium;Dino;123.00;13.67;2015-08-04;0;Балка_фоновая
Small flagellata;Small flagellata;3193.00;0.13;2015-08-04;0;Балка_фоновая
Noctiluca scintillans;Dino;368.00;5688.51;2015-08-04;0;Балка_фоновая
Octactis octonaria;Chry;246.00;0.61;2015-08-04;2;Балка_фоновая
Ebria tripartita;Chry;368.00;5.21;2015-08-04;2;Балка_фоновая
Coscinodiscus sp.;Bacil;1228.00;153.51;2015-08-04;2;Балка_фоновая
Rhizosolenia setigera;Bacil;123.00;6.01;2015-08-04;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;246.00;2.50;2015-08-04;2;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;1474.00;11.85;2015-08-04;2;Балка_фоновая
Ceratium fusus;Dino;246.00;8.48;2015-08-04;2;Балка_фоновая
Dinophysis acuminata;Dino;737.00;27.21;2015-08-04;2;Балка_фоновая
Diplopsalis lenticula f. lenticula;Dino;123.00;17.41;2015-08-04;2;Балка_фоновая
Gonyaulax verior;Dino;246.00;1.47;2015-08-04;2;Балка_фоновая
Gymnodinium blax;Dino;1842.00;1.05;2015-08-04;2;Балка_фоновая
Karenia mikimotoi;Dino;491.00;2.01;2015-08-04;2;Балка_фоновая
Gyrodinium fusiforme;Dino;1474.00;39.47;2015-08-04;2;Балка_фоновая
Gyrodinium spirale;Dino;123.00;13.61;2015-08-04;2;Балка_фоновая
Heterocapsa triquetra;Dino;860.00;3.21;2015-08-04;2;Балка_фоновая
Oblea rotundata;Dino;368.00;1.74;2015-08-04;2;Балка_фоновая
Protoperidinium pellucidum;Dino;246.00;2.21;2015-08-04;2;Балка_фоновая
Prorocentrum micans;Dino;246.00;2.90;2015-08-04;2;Балка_фоновая
Prorocentrum minimum;Dino;5158.00;6.76;2015-08-04;2;Балка_фоновая
Prorocentrum triestinum;Dino;103158.00;142.05;2015-08-04;2;Балка_фоновая
Protoceratium reticulatum;Dino;246.00;3.93;2015-08-04;2;Балка_фоновая
Scrippsiella trochoidea;Dino;3316.00;19.86;2015-08-04;2;Балка_фоновая
Small flagellata;Small flagellata;2702.00;0.11;2015-08-04;2;Балка_фоновая
Noctiluca scintillans;Dino;123.00;1896.17;2015-08-04;2;Балка_фоновая
Dictyocha fibula;Chry;123.00;11.73;2015-08-04;5;Балка_фоновая
Octactis octonaria;Chry;246.00;0.61;2015-08-04;5;Балка_фоновая
Coscinodiscus sp.;Bacil;1228.00;153.51;2015-08-04;5;Балка_фоновая
Ceratoneis closterium;Bacil;246.00;0.14;2015-08-04;5;Балка_фоновая
Rhizosolenia setigera;Bacil;246.00;12.02;2015-08-04;5;Балка_фоновая
Thalassionema frauenfeldii;Bacil;246.00;2.50;2015-08-04;5;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;860.00;6.91;2015-08-04;5;Балка_фоновая
Ceratium fusus;Dino;123.00;4.24;2015-08-04;5;Балка_фоновая
Dinophysis acuminata;Dino;860.00;31.74;2015-08-04;5;Балка_фоновая
Dinophysis rotundata;Dino;123.00;1.46;2015-08-04;5;Балка_фоновая
Gonyaulax verior;Dino;737.00;4.41;2015-08-04;5;Балка_фоновая
Gymnodinium blax;Dino;123.00;0.07;2015-08-04;5;Балка_фоновая
Gyrodinium fusiforme;Dino;491.00;13.16;2015-08-04;5;Балка_фоновая
Gyrodinium spirale;Dino;368.00;40.84;2015-08-04;5;Балка_фоновая
Heterocapsa triquetra;Dino;614.00;2.29;2015-08-04;5;Балка_фоновая
Oblea rotundata;Dino;737.00;3.48;2015-08-04;5;Балка_фоновая
Protoperidinium pellucidum;Dino;1105.00;9.94;2015-08-04;5;Балка_фоновая
Prorocentrum micans;Dino;491.00;5.80;2015-08-04;5;Балка_фоновая
Prorocentrum minimum;Dino;5649.00;7.40;2015-08-04;5;Балка_фоновая
Prorocentrum triestinum;Dino;102175.00;140.70;2015-08-04;5;Балка_фоновая
Protoceratium reticulatum;Dino;368.00;5.90;2015-08-04;5;Балка_фоновая
Scrippsiella trochoidea;Dino;3561.00;21.33;2015-08-04;5;Балка_фоновая
Noctiluca scintillans;Dino;246.00;3792.34;2015-08-04;5;Балка_фоновая
Dictyocha fibula;Chry;982.00;93.87;2015-08-18;0;Балка_фоновая
Octactis octonaria;Chry;702.00;1.75;2015-08-18;0;Балка_фоновая
Amphora sp.;Bacil;140.00;0.88;2015-08-18;0;Балка_фоновая
Bacteriastrum hyalinum;Bacil;140.00;2.88;2015-08-18;0;Балка_фоновая
Chaetoceros decipiens;Bacil;140.00;1.20;2015-08-18;0;Балка_фоновая
Cocconeis scutellum;Bacil;281.00;0.37;2015-08-18;0;Балка_фоновая
Coscinodiscus sp.;Bacil;1123.00;1057.68;2015-08-18;0;Балка_фоновая
Coscinodiscus sp.;Bacil;1684.00;210.53;2015-08-18;0;Балка_фоновая
Licmophora abbreviata;Bacil;140.00;0.08;2015-08-18;0;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;140.00;0.01;2015-08-18;0;Балка_фоновая
Odontella aurita;Bacil;140.00;3.44;2015-08-18;0;Балка_фоновая
Rhizosolenia setigera;Bacil;982.00;48.08;2015-08-18;0;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;1544.00;12.41;2015-08-18;0;Балка_фоновая
Gyrodinium spirale;Dino;421.00;46.68;2015-08-18;0;Балка_фоновая
Oblea rotundata;Dino;140.00;0.66;2015-08-18;0;Балка_фоновая
Protoperidinium bipes;Dino;2807.00;7.28;2015-08-18;0;Балка_фоновая
Protoperidinium pellucidum;Dino;281.00;2.53;2015-08-18;0;Балка_фоновая
Prorocentrum micans;Dino;1263.00;14.91;2015-08-18;0;Балка_фоновая
Prorocentrum minimum;Dino;982.00;1.29;2015-08-18;0;Балка_фоновая
Prorocentrum triestinum;Dino;1263.00;1.74;2015-08-18;0;Балка_фоновая
Protoceratium reticulatum;Dino;561.00;8.98;2015-08-18;0;Балка_фоновая
Scrippsiella trochoidea;Dino;281.00;1.68;2015-08-18;0;Балка_фоновая
Pyrophacus horologium;Dino;281.00;31.24;2015-08-18;0;Балка_фоновая
Eutreptia lanowii;Eugle;1263.00;1.31;2015-08-18;0;Балка_фоновая
Dictyocha fibula;Chry;702.00;67.05;2015-08-18;2;Балка_фоновая
Octactis octonaria;Chry;1123.00;2.81;2015-08-18;2;Балка_фоновая
Bacteriastrum hyalinum;Bacil;140.00;2.88;2015-08-18;2;Балка_фоновая
Chaetoceros decipiens;Bacil;140.00;1.20;2015-08-18;2;Балка_фоновая
Coscinodiscus sp.;Bacil;2526.00;315.79;2015-08-18;2;Балка_фоновая
Ditylum brightwellii;Bacil;421.00;20.00;2015-08-18;2;Балка_фоновая
Licmophora abbreviata;Bacil;140.00;0.08;2015-08-18;2;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;140.00;0.01;2015-08-18;2;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;281.00;4.21;2015-08-18;2;Балка_фоновая
Rhizosolenia setigera;Bacil;982.00;48.08;2015-08-18;2;Балка_фоновая
Skeletonema sp.;Bacil;1123.00;0.65;2015-08-18;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;561.00;5.71;2015-08-18;2;Балка_фоновая
Thalassionema nitzschioides;Bacil;140.00;0.62;2015-08-18;2;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;3649.00;29.33;2015-08-18;2;Балка_фоновая
Ceratium fusus;Dino;561.00;19.39;2015-08-18;2;Балка_фоновая
Dinophysis acuminata;Dino;842.00;31.10;2015-08-18;2;Балка_фоновая
Dinophysis fortii;Dino;140.00;2.85;2015-08-18;2;Балка_фоновая
Dinophysis rotundata;Dino;140.00;1.67;2015-08-18;2;Балка_фоновая
Gymnodinium blax;Dino;140.00;0.08;2015-08-18;2;Балка_фоновая
Karenia mikimotoi;Dino;140.00;0.58;2015-08-18;2;Балка_фоновая
Protoperidinium bipes;Dino;2526.00;6.55;2015-08-18;2;Балка_фоновая
Prorocentrum micans;Dino;281.00;3.31;2015-08-18;2;Балка_фоновая
Prorocentrum minimum;Dino;2105.00;2.76;2015-08-18;2;Балка_фоновая
Prorocentrum triestinum;Dino;1965.00;2.71;2015-08-18;2;Балка_фоновая
Protoceratium reticulatum;Dino;281.00;4.49;2015-08-18;2;Балка_фоновая
Dictyocha fibula;Chry;123.00;11.73;2015-08-18;5;Балка_фоновая
Octactis octonaria;Chry;491.00;1.23;2015-08-18;5;Балка_фоновая
Coscinodiscus sp.;Bacil;2211.00;276.32;2015-08-18;5;Балка_фоновая
Ditylum brightwellii;Bacil;246.00;11.67;2015-08-18;5;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;246.00;3.48;2015-08-18;5;Балка_фоновая
Rhizosolenia setigera;Bacil;246.00;12.02;2015-08-18;5;Балка_фоновая
Skeletonema sp.;Bacil;491.00;0.28;2015-08-18;5;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;1105.00;8.88;2015-08-18;5;Балка_фоновая
Ceratium fusus;Dino;123.00;4.24;2015-08-18;5;Балка_фоновая
Dinophysis acuminata;Dino;491.00;18.14;2015-08-18;5;Балка_фоновая
Gymnodinium blax;Dino;368.00;0.21;2015-08-18;5;Балка_фоновая
Gyrodinium fusiforme;Dino;123.00;3.29;2015-08-18;5;Балка_фоновая
Protoperidinium bipes;Dino;246.00;0.64;2015-08-18;5;Балка_фоновая
Protoperidinium conicum;Dino;123.00;15.01;2015-08-18;5;Балка_фоновая
Protoperidinium pellucidum;Dino;123.00;1.11;2015-08-18;5;Балка_фоновая
Prorocentrum micans;Dino;246.00;2.90;2015-08-18;5;Балка_фоновая
Prorocentrum minimum;Dino;737.00;0.97;2015-08-18;5;Балка_фоновая
Prorocentrum triestinum;Dino;123.00;0.17;2015-08-18;5;Балка_фоновая
Pyrophacus horologium;Dino;123.00;13.67;2015-08-18;5;Балка_фоновая
Chaetoceros simplex;Bacil;421.00;0.07;2015-09-08;0;Балка_фоновая
Grammatophora marina;Bacil;140.00;1.53;2015-09-08;0;Балка_фоновая
Licmophora abbreviata;Bacil;5053.00;3.03;2015-09-08;0;Балка_фоновая
Navicula septentrionalis;Bacil;1684.00;3.15;2015-09-08;0;Балка_фоновая
Pleurosigma formosum;Bacil;140.00;8.42;2015-09-08;0;Балка_фоновая
Gymnodinium blax;Dino;140.00;0.08;2015-09-08;0;Балка_фоновая
Protoperidinium pellucidum;Dino;140.00;1.26;2015-09-08;0;Балка_фоновая
Eutreptia lanowii;Eugle;871298.00;902.67;2015-09-08;0;Балка_фоновая
Dictyocha fibula;Chry;140.00;13.41;2015-09-08;2;Балка_фоновая
Ebria tripartita;Chry;281.00;3.97;2015-09-08;2;Балка_фоновая
Chaetoceros decipiens;Bacil;702.00;5.98;2015-09-08;2;Балка_фоновая
Coscinodiscus sp.;Bacil;4491.00;561.40;2015-09-08;2;Балка_фоновая
Ceratoneis closterium;Bacil;140.00;0.08;2015-09-08;2;Балка_фоновая
Ditylum brightwellii;Bacil;1825.00;86.66;2015-09-08;2;Балка_фоновая
Licmophora abbreviata;Bacil;140.00;0.08;2015-09-08;2;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;1965.00;0.20;2015-09-08;2;Балка_фоновая
Pseudo–nitzschia multistriata;Bacil;1825.00;2.51;2015-09-08;2;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;140.00;1.99;2015-09-08;2;Балка_фоновая
Rhizosolenia setigera;Bacil;140.00;6.87;2015-09-08;2;Балка_фоновая
Skeletonema sp.;Bacil;88702.00;51.09;2015-09-08;2;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;2807.00;22.56;2015-09-08;2;Балка_фоновая
Gymnodinium blax;Dino;281.00;0.16;2015-09-08;2;Балка_фоновая
Gyrodinium fusiforme;Dino;140.00;3.76;2015-09-08;2;Балка_фоновая
Gyrodinium spirale;Dino;140.00;15.56;2015-09-08;2;Балка_фоновая
Protoperidinium bipes;Dino;2246.00;5.82;2015-09-08;2;Балка_фоновая
Protoperidinium pellucidum;Dino;140.00;1.26;2015-09-08;2;Балка_фоновая
Protoperidinium pyriforme;Dino;140.00;5.26;2015-09-08;2;Балка_фоновая
Prorocentrum micans;Dino;702.00;8.28;2015-09-08;2;Балка_фоновая
Prorocentrum minimum;Dino;3509.00;4.60;2015-09-08;2;Балка_фоновая
Prorocentrum triestinum;Dino;1684.00;2.32;2015-09-08;2;Балка_фоновая
Scrippsiella trochoidea;Dino;140.00;0.84;2015-09-08;2;Балка_фоновая
Ebria tripartita;Chry;421.00;5.95;2015-09-08;5;Балка_фоновая
Chaetoceros decipiens;Bacil;281.00;2.39;2015-09-08;5;Балка_фоновая
Coscinodiscus sp.;Bacil;4351.00;543.86;2015-09-08;5;Балка_фоновая
Ditylum brightwellii;Bacil;1965.00;93.32;2015-09-08;5;Балка_фоновая
Licmophora abbreviata;Bacil;140.00;0.08;2015-09-08;5;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;1825.00;0.18;2015-09-08;5;Балка_фоновая
Pseudo–nitzschia multistriata;Bacil;2947.00;4.06;2015-09-08;5;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;1404.00;21.05;2015-09-08;5;Балка_фоновая
Pleurosigma formosum;Bacil;140.00;8.42;2015-09-08;5;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;140.00;1.99;2015-09-08;5;Балка_фоновая
Rhizosolenia setigera;Bacil;842.00;41.21;2015-09-08;5;Балка_фоновая
Skeletonema sp.;Bacil;78035.00;44.95;2015-09-08;5;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;3088.00;24.82;2015-09-08;5;Балка_фоновая
Diplopsalis lenticula f. lenticula;Dino;140.00;19.89;2015-09-08;5;Балка_фоновая
Gyrodinium falcatum;Dino;421.00;1.99;2015-09-08;5;Балка_фоновая
Gyrodinium fusiforme;Dino;982.00;26.31;2015-09-08;5;Балка_фоновая
Gyrodinium spirale;Dino;1263.00;140.03;2015-09-08;5;Балка_фоновая
Protoperidinium bipes;Dino;3228.00;8.37;2015-09-08;5;Балка_фоновая
Protoperidinium steinii;Dino;140.00;1.11;2015-09-08;5;Балка_фоновая
Protoperidinium divergens;Dino;140.00;1.51;2015-09-08;5;Балка_фоновая
Prorocentrum micans;Dino;982.00;11.59;2015-09-08;5;Балка_фоновая
Prorocentrum minimum;Dino;1825.00;2.39;2015-09-08;5;Балка_фоновая
Prorocentrum triestinum;Dino;1404.00;1.93;2015-09-08;5;Балка_фоновая
Cerataulina dentata;Bacil;5684.00;36.13;2015-09-22;0;Балка_фоновая
Chaetoceros contortus;Bacil;2684.00;6.57;2015-09-22;0;Балка_фоновая
Chaetoceros didymus;Bacil;2053.00;3.49;2015-09-22;0;Балка_фоновая
Chaetoceros laciniosus;Bacil;1421.00;7.76;2015-09-22;0;Балка_фоновая
Coscinodiscus sp.;Bacil;316.00;39.47;2015-09-22;0;Балка_фоновая
Ditylum brightwellii;Bacil;158.00;7.50;2015-09-22;0;Балка_фоновая
Hemiaulus hauckii;Bacil;1579.00;14.64;2015-09-22;0;Балка_фоновая
Pseudo–nitzschia multistriata;Bacil;6632.00;9.13;2015-09-22;0;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;1263.00;18.95;2015-09-22;0;Балка_фоновая
Pleurosigma formosum;Bacil;1895.00;113.68;2015-09-22;0;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;474.00;6.71;2015-09-22;0;Балка_фоновая
Rhizosolenia setigera;Bacil;1105.00;54.09;2015-09-22;0;Балка_фоновая
Skeletonema sp.;Bacil;275368.00;158.61;2015-09-22;0;Балка_фоновая
Thalassionema frauenfeldii;Bacil;474.00;4.82;2015-09-22;0;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;2368.00;19.04;2015-09-22;0;Балка_фоновая
Cryptomonas sp.;Cryp;1895.00;0.43;2015-09-22;0;Балка_фоновая
Ceratium fusus;Dino;158.00;5.45;2015-09-22;0;Балка_фоновая
Gymnodinium blax;Dino;158.00;0.09;2015-09-22;0;Балка_фоновая
Gyrodinium spirale;Dino;632.00;70.02;2015-09-22;0;Балка_фоновая
Protoperidinium bipes;Dino;474.00;1.23;2015-09-22;0;Балка_фоновая
Protoperidinium pellucidum;Dino;474.00;4.26;2015-09-22;0;Балка_фоновая
Protoperidinium thorianum;Dino;158.00;9.92;2015-09-22;0;Балка_фоновая
Prorocentrum micans;Dino;158.00;1.86;2015-09-22;0;Балка_фоновая
Prorocentrum minimum;Dino;1263.00;1.66;2015-09-22;0;Балка_фоновая
Prorocentrum triestinum;Dino;474.00;0.65;2015-09-22;0;Балка_фоновая
Protoceratium reticulatum;Dino;789.00;12.63;2015-09-22;0;Балка_фоновая
Scrippsiella trochoidea;Dino;632.00;3.78;2015-09-22;0;Балка_фоновая
Pyrophacus horologium;Dino;158.00;17.57;2015-09-22;0;Балка_фоновая
Dictyocha fibula;Chry;246.00;23.47;2015-09-22;2;Балка_фоновая
Cerataulina dentata;Bacil;368.00;2.34;2015-09-22;2;Балка_фоновая
Chaetoceros affinis;Bacil;246.00;0.90;2015-09-22;2;Балка_фоновая
Chaetoceros convolutus;Bacil;246.00;1.68;2015-09-22;2;Балка_фоновая
Chaetoceros decipiens;Bacil;860.00;7.32;2015-09-22;2;Балка_фоновая
Chaetoceros didymus;Bacil;491.00;0.83;2015-09-22;2;Балка_фоновая
Chaetoceros laciniosus;Bacil;860.00;4.69;2015-09-22;2;Балка_фоновая
Chaetoceros protuberans;Bacil;982.00;1.67;2015-09-22;2;Балка_фоновая
Chaetoceros peruvianus;Bacil;123.00;0.28;2015-09-22;2;Балка_фоновая
Coscinodiscus sp.;Bacil;737.00;92.11;2015-09-22;2;Балка_фоновая
Ceratoneis closterium;Bacil;246.00;0.14;2015-09-22;2;Балка_фоновая
Ditylum brightwellii;Bacil;123.00;5.83;2015-09-22;2;Балка_фоновая
Hemiaulus hauckii;Bacil;491.00;4.55;2015-09-22;2;Балка_фоновая
Hemiaulus sinensis;Bacil;246.00;2.35;2015-09-22;2;Балка_фоновая
Navicula transitans var. derasa;Bacil;123.00;0.19;2015-09-22;2;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;614.00;0.06;2015-09-22;2;Балка_фоновая
Pseudo–nitzschia multistriata;Bacil;5404.00;7.44;2015-09-22;2;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;737.00;11.05;2015-09-22;2;Балка_фоновая
Pleurosigma formosum;Bacil;2333.00;140.00;2015-09-22;2;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;1105.00;15.65;2015-09-22;2;Балка_фоновая
Rhizosolenia setigera;Bacil;1105.00;54.09;2015-09-22;2;Балка_фоновая
Skeletonema sp.;Bacil;616982.00;355.38;2015-09-22;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;368.00;3.75;2015-09-22;2;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;3807.00;30.60;2015-09-22;2;Балка_фоновая
Ceratium fusus;Dino;123.00;4.24;2015-09-22;2;Балка_фоновая
Gyrodinium falcatum;Dino;614.00;2.90;2015-09-22;2;Балка_фоновая
Gyrodinium spirale;Dino;982.00;108.91;2015-09-22;2;Балка_фоновая
Protoperidinium bipes;Dino;737.00;1.91;2015-09-22;2;Балка_фоновая
Protoperidinium obtusum;Dino;123.00;1.32;2015-09-22;2;Балка_фоновая
Protoperidinium pellucidum;Dino;860.00;7.73;2015-09-22;2;Балка_фоновая
Prorocentrum minimum;Dino;614.00;0.80;2015-09-22;2;Балка_фоновая
Prorocentrum triestinum;Dino;1474.00;2.03;2015-09-22;2;Балка_фоновая
Protoceratium reticulatum;Dino;1228.00;19.65;2015-09-22;2;Балка_фоновая
Scrippsiella trochoidea;Dino;123.00;0.74;2015-09-22;2;Балка_фоновая
Pyrophacus horologium;Dino;123.00;13.67;2015-09-22;2;Балка_фоновая
Octactis octonaria;Chry;158.00;0.40;2015-09-22;5;Балка_фоновая
Chaetoceros contortus;Bacil;474.00;1.16;2015-09-22;5;Балка_фоновая
Chaetoceros decipiens;Bacil;947.00;8.07;2015-09-22;5;Балка_фоновая
Chaetoceros didymus;Bacil;1263.00;2.15;2015-09-22;5;Балка_фоновая
Cocconeis scutellum;Bacil;158.00;0.21;2015-09-22;5;Балка_фоновая
Coscinodiscus sp.;Bacil;789.00;98.68;2015-09-22;5;Балка_фоновая
Ditylum brightwellii;Bacil;474.00;22.50;2015-09-22;5;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;1895.00;0.19;2015-09-22;5;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;1263.00;18.95;2015-09-22;5;Балка_фоновая
Pleurosigma formosum;Bacil;3632.00;217.90;2015-09-22;5;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;316.00;4.47;2015-09-22;5;Балка_фоновая
Rhizosolenia setigera;Bacil;1105.00;54.09;2015-09-22;5;Балка_фоновая
Skeletonema sp.;Bacil;442105.00;254.65;2015-09-22;5;Балка_фоновая
Thalassionema frauenfeldii;Bacil;632.00;6.43;2015-09-22;5;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;2368.00;19.04;2015-09-22;5;Балка_фоновая
Gyrodinium falcatum;Dino;158.00;0.75;2015-09-22;5;Балка_фоновая
Gyrodinium fusiforme;Dino;1579.00;42.29;2015-09-22;5;Балка_фоновая
Gyrodinium spirale;Dino;474.00;52.51;2015-09-22;5;Балка_фоновая
Katodinium glaucum;Dino;474.00;1.37;2015-09-22;5;Балка_фоновая
Protoperidinium bipes;Dino;474.00;1.23;2015-09-22;5;Балка_фоновая
Protoperidinium steinii;Dino;158.00;1.24;2015-09-22;5;Балка_фоновая
Protoperidinium minutum;Dino;158.00;2.59;2015-09-22;5;Балка_фоновая
Protoperidinium pellucidum;Dino;789.00;7.10;2015-09-22;5;Балка_фоновая
Prorocentrum micans;Dino;158.00;1.86;2015-09-22;5;Балка_фоновая
Prorocentrum minimum;Dino;316.00;0.41;2015-09-22;5;Балка_фоновая
Prorocentrum triestinum;Dino;316.00;0.44;2015-09-22;5;Балка_фоновая
Protoceratium reticulatum;Dino;158.00;2.53;2015-09-22;5;Балка_фоновая
Scrippsiella trochoidea;Dino;316.00;1.89;2015-09-22;5;Балка_фоновая
Dictyocha fibula;Chry;561.00;53.64;2015-10-06;0;Балка_фоновая
Ebria tripartita;Chry;140.00;1.98;2015-10-06;0;Балка_фоновая
Chaetoceros didymus;Bacil;2947.00;5.01;2015-10-06;0;Балка_фоновая
Cocconeis scutellum;Bacil;140.00;0.18;2015-10-06;0;Балка_фоновая
Coscinodiscus sp.;Bacil;561.00;70.18;2015-10-06;0;Балка_фоновая
Ceratoneis closterium;Bacil;12491.00;6.88;2015-10-06;0;Балка_фоновая
Ditylum brightwellii;Bacil;702.00;33.33;2015-10-06;0;Балка_фоновая
Hemiaulus hauckii;Bacil;421.00;3.90;2015-10-06;0;Балка_фоновая
Navicula transitans var. derasa;Bacil;1825.00;2.76;2015-10-06;0;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;702.00;0.07;2015-10-06;0;Балка_фоновая
Pseudo–nitzschia multistriata;Bacil;11228.00;15.46;2015-10-06;0;Балка_фоновая
Pleurosigma formosum;Bacil;281.00;16.84;2015-10-06;0;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;7158.00;101.35;2015-10-06;0;Балка_фоновая
Rhizosolenia setigera;Bacil;2105.00;103.03;2015-10-06;0;Балка_фоновая
Skeletonema sp.;Bacil;269474.00;155.22;2015-10-06;0;Балка_фоновая
Thalassionema frauenfeldii;Bacil;1263.00;12.85;2015-10-06;0;Балка_фоновая
Thalassionema nitzschioides;Bacil;1684.00;7.49;2015-10-06;0;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;7158.00;57.54;2015-10-06;0;Балка_фоновая
Dinophysis acuminata;Dino;140.00;5.18;2015-10-06;0;Балка_фоновая
Gyrodinium falcatum;Dino;561.00;2.65;2015-10-06;0;Балка_фоновая
Gymnodinium simplex;Dino;281.00;0.08;2015-10-06;0;Балка_фоновая
Protoperidinium pellucidum;Dino;140.00;1.26;2015-10-06;0;Балка_фоновая
Prorocentrum triestinum;Dino;140.00;0.19;2015-10-06;0;Балка_фоновая
Scrippsiella trochoidea;Dino;702.00;4.20;2015-10-06;0;Балка_фоновая
Chaetoceros didymus;Bacil;6035.00;10.25;2015-10-06;2;Балка_фоновая
Cocconeis scutellum;Bacil;140.00;0.18;2015-10-06;2;Балка_фоновая
Coscinodiscus sp.;Bacil;2526.00;315.79;2015-10-06;2;Балка_фоновая
Ceratoneis closterium;Bacil;16000.00;8.82;2015-10-06;2;Балка_фоновая
Ditylum brightwellii;Bacil;1825.00;86.66;2015-10-06;2;Балка_фоновая
Hemiaulus hauckii;Bacil;281.00;2.60;2015-10-06;2;Балка_фоновая
Licmophora abbreviata;Bacil;140.00;0.08;2015-10-06;2;Балка_фоновая
Navicula transitans var. derasa;Bacil;1263.00;1.91;2015-10-06;2;Балка_фоновая
Navicula directa;Bacil;281.00;0.53;2015-10-06;2;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;2807.00;0.28;2015-10-06;2;Балка_фоновая
Pseudo–nitzschia multistriata;Bacil;14596.00;20.10;2015-10-06;2;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;281.00;4.21;2015-10-06;2;Балка_фоновая
Pleurosigma formosum;Bacil;842.00;50.53;2015-10-06;2;Балка_фоновая
Dactyliosolen fragilissimus;Bacil;3930.00;55.64;2015-10-06;2;Балка_фоновая
Rhizosolenia setigera;Bacil;5053.00;247.26;2015-10-06;2;Балка_фоновая
